country,time,value
Australia,2007-Q1,897248.4
Australia,2007-Q2,902701.7
Australia,2007-Q3,913003.7
Australia,2007-Q4,917010.5
Australia,2008-Q1,926502.4
Australia,2008-Q2,929150.7
Australia,2008-Q3,935739.7
Australia,2008-Q4,931573.9
Australia,2009-Q1,940067.1
Australia,2009-Q2,947091.8
Australia,2009-Q3,949779.3
Australia,2009-Q4,957259.3
Australia,2010-Q1,961417.8
Australia,2010-Q2,967576
Australia,2010-Q3,974353.5
Australia,2010-Q4,983304.5
Australia,2011-Q1,980333
Australia,2011-Q2,992784.1
Australia,2011-Q3,1006148.2
Australia,2011-Q4,1017316.7
Australia,2012-Q1,1026960.3
Australia,2012-Q2,1034332.6
Australia,2012-Q3,1040446.7
Australia,2012-Q4,1045811.9
Australia,2013-Q1,1050256.8
Australia,2013-Q2,1054452.1
Australia,2013-Q3,1062729.9
Australia,2013-Q4,1071578.1
Australia,2014-Q1,1079696.9
Australia,2014-Q2,1084374.3
Australia,2014-Q3,1089526.5
Australia,2014-Q4,1093814.8
Australia,2015-Q1,1103732.6
Australia,2015-Q2,1104672.4
Australia,2015-Q3,1116188.5
Australia,2015-Q4,1123188.7
Australia,2016-Q1,1132817.7
Australia,2016-Q2,1139957.4
Australia,2016-Q3,1141460.3
Australia,2016-Q4,1153757.1
Australia,2017-Q1,1156496
Australia,2017-Q2,1164037.2
Australia,2017-Q3,1175362.3
Australia,2017-Q4,1180688.4
Australia,2018-Q1,1190870.5
Australia,2018-Q2,1201346.3
Australia,2018-Q3,1206283.2
Australia,2018-Q4,1207925.6
Australia,2019-Q1,1212967.7
Australia,2019-Q2,1221431.6
Australia,2019-Q3,1231241.6
Australia,2019-Q4,1236051.2
Australia,2020-Q1,1232421.4
Australia,2020-Q2,1148705.2
Australia,2020-Q3,1187945.6
Australia,2020-Q4,1226774.7
Australia,2021-Q1,1249109.3
Australia,2021-Q2,1257893.9
Australia,2021-Q3,1233716.2
Japan,2007-Q1,5096370.4
Japan,2007-Q2,5099342
Japan,2007-Q3,5072353.9
Japan,2007-Q4,5092759
Japan,2008-Q1,5110969.5
Japan,2008-Q2,5082291.2
Japan,2008-Q3,5019633
Japan,2008-Q4,4894162
Japan,2009-Q1,4658595
Japan,2009-Q2,4750970.4
Japan,2009-Q3,4749355.6
Japan,2009-Q4,4806804
Japan,2010-Q1,4857209.5
Japan,2010-Q2,4916386.8
Japan,2010-Q3,5005933.6
Japan,2010-Q4,4964061.3
Japan,2011-Q1,4911653.4
Japan,2011-Q2,4869859.4
Japan,2011-Q3,4988452.7
Japan,2011-Q4,4980528.4
Japan,2012-Q1,5050194.8
Japan,2012-Q2,5004136.1
Japan,2012-Q3,4985451.1
Japan,2012-Q4,4981322.7
Japan,2013-Q1,5050754.3
Japan,2013-Q2,5095663
Japan,2013-Q3,5144812.2
Japan,2013-Q4,5138844.8
Japan,2014-Q1,5181414.8
Japan,2014-Q2,5085866.8
Japan,2014-Q3,5090914.2
Japan,2014-Q4,5115969.6
Japan,2015-Q1,5195106.5
Japan,2015-Q2,5199838.9
Japan,2015-Q3,5205461.3
Japan,2015-Q4,5200617.8
Japan,2016-Q1,5237831.2
Japan,2016-Q2,5226081
Japan,2016-Q3,5236009.6
Japan,2016-Q4,5251572.1
Japan,2017-Q1,5290921.2
Japan,2017-Q2,5304256.3
Japan,2017-Q3,5346100.6
Japan,2017-Q4,5367756.3
Japan,2018-Q1,5367204.5
Japan,2018-Q2,5369684.2
Japan,2018-Q3,5333529
Japan,2018-Q4,5356631.3
Japan,2019-Q1,5373333.3
Japan,2019-Q2,5383825.2
Japan,2019-Q3,5390791.9
Japan,2019-Q4,5285726
Japan,2020-Q1,5255459.9
Japan,2020-Q2,4836929
Japan,2020-Q3,5098868.5
Japan,2020-Q4,5243191.7
Japan,2021-Q1,5188090.6
Japan,2021-Q2,5207101.2
Japan,2021-Q3,5167293.1
United Kingdom,2007-Q1,2563323.1
United Kingdom,2007-Q2,2575210.4
United Kingdom,2007-Q3,2592784.7
United Kingdom,2007-Q4,2602772.8
United Kingdom,2008-Q1,2618474.6
United Kingdom,2008-Q2,2606678.2
United Kingdom,2008-Q3,2567833
United Kingdom,2008-Q4,2516340.8
United Kingdom,2009-Q1,2470990.2
United Kingdom,2009-Q2,2463232.9
United Kingdom,2009-Q3,2464789.7
United Kingdom,2009-Q4,2472440
United Kingdom,2010-Q1,2489709.3
United Kingdom,2010-Q2,2517929.7
United Kingdom,2010-Q3,2535578.8
United Kingdom,2010-Q4,2538638.9
United Kingdom,2011-Q1,2550376.5
United Kingdom,2011-Q2,2552955.1
United Kingdom,2011-Q3,2561108.2
United Kingdom,2011-Q4,2564366.3
United Kingdom,2012-Q1,2581742.6
United Kingdom,2012-Q2,2580223.2
United Kingdom,2012-Q3,2611819.4
United Kingdom,2012-Q4,2605372.8
United Kingdom,2013-Q1,2617335.1
United Kingdom,2013-Q2,2634534.8
United Kingdom,2013-Q3,2654746.5
United Kingdom,2013-Q4,2668709.6
United Kingdom,2014-Q1,2693602.4
United Kingdom,2014-Q2,2715317.4
United Kingdom,2014-Q3,2733704.8
United Kingdom,2014-Q4,2749026.8
United Kingdom,2015-Q1,2766750.8
United Kingdom,2015-Q2,2787181.9
United Kingdom,2015-Q3,2802156.1
United Kingdom,2015-Q4,2821206.8
United Kingdom,2016-Q1,2833666.6
United Kingdom,2016-Q2,2850026.4
United Kingdom,2016-Q3,2862716.3
United Kingdom,2016-Q4,2883880.2
United Kingdom,2017-Q1,2902620.7
United Kingdom,2017-Q2,2911640.6
United Kingdom,2017-Q3,2924111
United Kingdom,2017-Q4,2935891.4
United Kingdom,2018-Q1,2942840.8
United Kingdom,2018-Q2,2958927.8
United Kingdom,2018-Q3,2977620.2
United Kingdom,2018-Q4,2987608.3
United Kingdom,2019-Q1,3006787.5
United Kingdom,2019-Q2,3010778.5
United Kingdom,2019-Q3,3024597.1
United Kingdom,2019-Q4,3023243.6
United Kingdom,2020-Q1,2941642.5
United Kingdom,2020-Q2,2366095.8
United Kingdom,2020-Q3,2778654.2
United Kingdom,2020-Q4,2809415.8
United Kingdom,2021-Q1,2771207.2
United Kingdom,2021-Q2,2923988
United Kingdom,2021-Q3,2960666.5
United States,2007-Q1,16205028.9
United States,2007-Q2,16308487.4
United States,2007-Q3,16406714.5
United States,2007-Q4,16506737
United States,2008-Q1,16439483.7
United States,2008-Q2,16533566.1
United States,2008-Q3,16446451.9
United States,2008-Q4,16087409.9
United States,2009-Q1,15899875.3
United States,2009-Q2,15872966.7
United States,2009-Q3,15930415.7
United States,2009-Q4,16100546.5
United States,2010-Q1,16181057.8
United States,2010-Q2,16337642.7
United States,2010-Q3,16463956.2
United States,2010-Q4,16549502.1
United States,2011-Q1,16509631.7
United States,2011-Q2,16621575.4
United States,2011-Q3,16615131.7
United States,2011-Q4,16801500
United States,2012-Q1,16938923.3
United States,2012-Q2,17016141.1
United States,2012-Q3,17045899.4
United States,2012-Q4,17064622.3
United States,2013-Q1,17212707.3
United States,2013-Q2,17236699.3
United States,2013-Q3,17373154.2
United States,2013-Q4,17496707
United States,2014-Q1,17435449.4
United States,2014-Q2,17659343
United States,2014-Q3,17865067.6
United States,2014-Q4,17945280.6
United States,2015-Q1,18091232
United States,2015-Q2,18196161.4
United States,2015-Q3,18255002.8
United States,2015-Q4,18281697.9
United States,2016-Q1,18389410
United States,2016-Q2,18445017.5
United States,2016-Q3,18555893.3
United States,2016-Q4,18648095.5
United States,2017-Q1,18736101.6
United States,2017-Q2,18840979.7
United States,2017-Q3,18976474.6
United States,2017-Q4,19154929.4
United States,2018-Q1,19301053.5
United States,2018-Q2,19462007.1
United States,2018-Q3,19555804.7
United States,2018-Q4,19599441.9
United States,2019-Q1,19716605.5
United States,2019-Q2,19872943.3
United States,2019-Q3,20009172.1
United States,2019-Q4,20103034.6
United States,2020-Q1,19840974.9
United States,2020-Q2,18067737.3
United States,2020-Q3,19431406
United States,2020-Q4,19648120
United States,2021-Q1,19949500.4
United States,2021-Q2,20276821.2
United States,2021-Q3,20382650.9