date,trust,tax
1958,73,91
1959,,91
1960,,91
1961,,91
1962,,91
1963,,91
1964,77,77
1965,,70
1966,65,70
1967,,70
1968,62,75.25
1969,,77
1970,54,71.75
1971,,70
1972,53,70
1973,,70
1974,36,70
1975,,70
1976,35,70
1977,33,70
1978,31,70
1979,28,70
1980,29.66666667,70
1981,,69.125
1982,39,50
1983,,50
1984,42.5,50
1985,42.4,50
1986,43.75,50
1987,43,38.5
1988,41.33333333,28
1989,40,28
1990,34.5,28
1991,40.75,31
1992,26.33333333,31
1993,25,39.6
1994,20.66666667,39.6
1995,22.2,39.6
1996,28.75,39.6
1997,28.75,39.6
1998,31.11111111,39.6
1999,33.75,39.6
2000,38.2,39.6
2001,49,39.1
2002,43.5,38.6
2003,39.5,35
2004,39.33333333,35
2005,32,35
2006,31,35
2007,26,35
2008,24.33333333,35
2009,22,35
2010,22.2,35
2011,18.8,35
2012,19,35
2013,20.8,39.6
2014,18.5,39.6
2015,18,39.6
2016,,39.6
2017,18.5,39.6
2018,,37
2019,17,
2020,22.5,
2021,24,